epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.7881,1.15901,2.24037,1.42826,0.01424,0.95906,0.62491,0.2457,1.60402,2.51285,1.92786,0.00056,0.00056,0.00056
2,36.8401,1.18112,1.55717,1.45297,0.43413,0.44444,0.44027,0.17409,1.74459,2.23343,2.19425,0.00111743,0.00111743,0.00111743
3,42.4044,1.21715,1.40425,1.47625,0.08222,0.60234,0.06759,0.02318,2.2784,11.3827,3.13172,0.00165189,0.00165189,0.00165189
4,48.7534,1.23736,1.3641,1.47741,0.67857,0.7531,0.73046,0.38609,1.49756,1.43811,2.18525,0.0018812,0.0018812,0.0018812
5,54.2743,1.24561,1.30167,1.44799,0.79957,0.69988,0.79702,0.44385,1.32567,1.47732,1.86875,0.0018416,0.0018416,0.0018416
6,60.7691,1.16521,1.19587,1.39741,0.77693,0.74854,0.77629,0.46626,1.2273,1.3055,1.80087,0.001802,0.001802,0.001802
7,66.3754,1.10912,1.11811,1.3659,0.73305,0.67445,0.78031,0.46743,1.37688,1.24248,1.69961,0.0017624,0.0017624,0.0017624
8,72.8469,1.11299,1.10362,1.37432,0.55545,0.5848,0.57793,0.30891,1.54343,1.63203,1.80205,0.0017228,0.0017228,0.0017228
9,78.3885,1.07109,1.03866,1.37332,0.67481,0.71345,0.73717,0.46302,1.21755,1.3091,1.60589,0.0016832,0.0016832,0.0016832
10,84.7697,1.03219,1.0211,1.33266,0.68891,0.65497,0.73741,0.40904,1.4813,1.31701,1.74521,0.0016436,0.0016436,0.0016436
11,90.2181,1.04992,1.03953,1.3297,0.71799,0.75934,0.81167,0.49667,1.19327,1.11753,1.48074,0.001604,0.001604,0.001604
12,96.8131,1.12887,1.01554,1.3985,0.80183,0.74854,0.84713,0.52852,1.24217,1.12343,1.49536,0.0015644,0.0015644,0.0015644
