epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.0846,1.08777,2.32767,1.31477,0.00491,1,0.80095,0.53552,1.00013,2.39594,1.22685,0.00042,0.00042,0.00042
2,40.8643,1.17956,1.64654,1.39296,0.58371,0.5437,0.53598,0.29404,1.44637,1.94489,1.66675,0.000842972,0.000842972,0.000842972
3,45.5136,1.27508,1.43801,1.47502,0.68502,0.65098,0.72388,0.428,1.29941,1.54884,1.72831,0.00124852,0.00124852,0.00124852
4,51.2779,1.28549,1.36002,1.44149,0.43355,0.36735,0.32683,0.14423,1.82479,2.18479,2.2297,0.00163664,0.00163664,0.00163664
5,55.8306,1.31362,1.36239,1.46475,0.19149,0.40816,0.15299,0.06241,1.88055,2.61729,2.09635,0.0018416,0.0018416,0.0018416
6,60.3699,1.37107,1.37252,1.49089,0.34267,0.43267,0.27334,0.12837,1.79347,3.34472,2.09684,0.001802,0.001802,0.001802
7,65.9094,1.29797,1.30459,1.44724,0.54185,0.63265,0.53972,0.27333,1.56478,2.06644,1.82608,0.0017624,0.0017624,0.0017624
8,70.4381,1.27226,1.27123,1.44238,0.53798,0.5034,0.52755,0.28519,1.61387,1.90915,1.80377,0.0017228,0.0017228,0.0017228
9,75.9601,1.28314,1.19601,1.42262,0.84803,0.56942,0.71491,0.42772,1.40777,1.44035,1.65456,0.0016832,0.0016832,0.0016832
10,80.7224,1.24029,1.20702,1.3906,0.64619,0.67094,0.69381,0.40055,1.36909,1.46437,1.61308,0.0016436,0.0016436,0.0016436
11,85.1658,1.22679,1.15478,1.37511,0.78834,0.72109,0.80718,0.48737,1.26588,1.1589,1.51219,0.001604,0.001604,0.001604
12,90.7866,1.20506,1.1361,1.39195,0.63261,0.52712,0.60181,0.3453,1.52848,1.65597,1.88102,0.0015644,0.0015644,0.0015644
13,95.1959,1.13357,1.04603,1.33815,0.60004,0.5001,0.53907,0.22218,2.00314,2.51341,2.6469,0.0015248,0.0015248,0.0015248
14,99.9393,1.15693,1.05384,1.35468,0.82579,0.80615,0.87114,0.52491,1.27253,1.0897,1.50646,0.0014852,0.0014852,0.0014852
15,104.909,1.13914,1.0361,1.34408,0.72226,0.61916,0.67854,0.38563,1.36293,1.34249,1.69567,0.0014456,0.0014456,0.0014456
16,109.406,1.15703,1.01561,1.34357,0.81216,0.82354,0.88801,0.55471,1.25068,0.94083,1.40799,0.001406,0.001406,0.001406
17,114.912,1.10258,0.9694,1.32058,0.84575,0.7483,0.85001,0.53549,1.16591,0.92137,1.36689,0.0013664,0.0013664,0.0013664
18,119.485,1.09392,0.94599,1.30469,0.87137,0.7619,0.86842,0.53144,1.33311,0.96755,1.57688,0.0013268,0.0013268,0.0013268
19,123.968,1.10311,0.95446,1.30989,0.82634,0.7551,0.84856,0.48441,1.37566,1.00942,1.49234,0.0012872,0.0012872,0.0012872
20,129.475,1.07701,0.96488,1.29232,0.82438,0.83023,0.88135,0.53879,1.25918,0.93084,1.44632,0.0012476,0.0012476,0.0012476
21,133.881,1.11951,0.95788,1.31626,0.83402,0.79592,0.86914,0.56861,1.12712,0.91395,1.34243,0.001208,0.001208,0.001208
22,139.255,1.04809,0.89342,1.28186,0.88168,0.82993,0.9063,0.59517,1.13053,0.82098,1.33593,0.0011684,0.0011684,0.0011684
23,143.979,1.06707,0.89102,1.29241,0.89512,0.81287,0.89846,0.60151,1.1265,0.8422,1.31441,0.0011288,0.0011288,0.0011288
24,148.525,1.04381,0.86915,1.28142,0.8786,0.78912,0.86958,0.55512,1.30427,0.82079,1.43101,0.0010892,0.0010892,0.0010892
25,154.047,1.07458,0.87868,1.28025,0.83299,0.84823,0.88956,0.60124,1.12597,0.79811,1.30328,0.0010496,0.0010496,0.0010496
26,158.514,1.02322,0.85038,1.26217,0.90795,0.80952,0.90611,0.59126,1.19883,0.79205,1.31481,0.00101,0.00101,0.00101
27,163.104,1.05949,0.87674,1.27737,0.93642,0.78231,0.89597,0.60054,1.1082,0.73452,1.30105,0.0009704,0.0009704,0.0009704
28,168.317,1.02426,0.8286,1.27235,0.88032,0.81633,0.89875,0.58999,1.23359,0.8338,1.36933,0.0009308,0.0009308,0.0009308
29,172.843,1.0106,0.82864,1.24211,0.82075,0.82313,0.86731,0.57104,1.27975,0.84989,1.46894,0.0008912,0.0008912,0.0008912
30,178.63,0.98428,0.79101,1.23247,0.89035,0.78231,0.8646,0.55979,1.15239,0.83032,1.38736,0.0008516,0.0008516,0.0008516
31,183.099,0.99461,0.80906,1.25547,0.84296,0.80952,0.86411,0.58874,1.17974,0.83572,1.41287,0.000812,0.000812,0.000812
