epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.3825,0.83741,2.20032,1.28125,0.0035,0.98131,0.88509,0.60077,0.67177,2.41898,0.999,0.00042,0.00042,0.00042
2,40.1751,0.83337,1.54561,1.25303,0.73985,0.63792,0.70048,0.33943,1.09263,2.11914,1.42742,0.000842972,0.000842972,0.000842972
3,45.7323,0.97506,1.18251,1.36661,0.68086,0.67794,0.71045,0.45173,1.05058,1.7963,1.49443,0.00124852,0.00124852,0.00124852
4,50.2061,1.05135,1.1395,1.36955,0.84508,0.71373,0.83359,0.48972,1.2094,1.90568,1.89035,0.00163664,0.00163664,0.00163664
5,54.711,1.02425,1.04294,1.37697,0.78031,0.78505,0.81092,0.50272,1.20413,1.42031,1.56438,0.0018416,0.0018416,0.0018416
6,60.3077,1.02333,0.98146,1.34439,0.65898,0.50567,0.58773,0.23774,1.63937,1.90853,2.1298,0.001802,0.001802,0.001802
7,64.7115,1.0123,0.9853,1.34372,0.43554,0.79439,0.52338,0.20861,1.59338,1.99687,1.88608,0.0017624,0.0017624,0.0017624
8,69.4896,0.95805,0.98659,1.32394,0.48392,0.72897,0.51074,0.18055,1.59171,2.16672,1.94527,0.0017228,0.0017228,0.0017228
9,74.3753,0.99146,0.91919,1.33433,0.87986,0.74766,0.85252,0.52755,1.07017,1.11314,1.3682,0.0016832,0.0016832,0.0016832
10,78.8234,0.95085,0.90106,1.28501,0.71134,0.73832,0.75495,0.32352,1.6161,1.69628,1.80968,0.0016436,0.0016436,0.0016436
11,84.4534,0.95293,0.87909,1.28559,0.94685,0.90654,0.9398,0.6146,1.00851,0.88766,1.47312,0.001604,0.001604,0.001604
12,88.9745,0.92333,0.85033,1.29283,0.88342,0.92069,0.93684,0.65291,1.01144,0.83876,1.3677,0.0015644,0.0015644,0.0015644
13,93.4007,0.883,0.83753,1.25768,0.83973,0.8785,0.8896,0.59034,0.90159,0.9591,1.22649,0.0015248,0.0015248,0.0015248
14,98.9462,0.8848,0.79156,1.27173,0.96006,0.94393,0.94472,0.68015,0.8865,0.69299,1.23671,0.0014852,0.0014852,0.0014852
15,103.398,0.87612,0.76792,1.25848,0.72563,0.79097,0.80199,0.46183,1.54229,1.36728,1.75052,0.0014456,0.0014456,0.0014456
16,108.702,0.85404,0.77239,1.23829,0.93246,0.90328,0.95494,0.64857,0.95001,0.80239,1.19505,0.001406,0.001406,0.001406
17,113.477,0.89014,0.7752,1.27254,0.83567,0.93458,0.92995,0.66384,0.8693,0.71603,1.1705,0.0013664,0.0013664,0.0013664
18,117.935,0.85456,0.75254,1.27166,0.97911,0.95327,0.96525,0.76674,0.71689,0.5869,1.03096,0.0013268,0.0013268,0.0013268
19,123.564,0.85935,0.74713,1.23664,0.94352,0.93675,0.95599,0.75518,0.7411,0.59342,1.01906,0.0012872,0.0012872,0.0012872
20,127.977,0.84374,0.72902,1.22983,0.9802,0.92556,0.97216,0.76256,0.75427,0.58287,1.03462,0.0012476,0.0012476,0.0012476
21,132.568,0.82081,0.69203,1.20057,0.98005,0.91806,0.97936,0.76476,0.76161,0.53594,1.07665,0.001208,0.001208,0.001208
22,137.754,0.77368,0.68765,1.21719,0.96216,0.95065,0.95918,0.7493,0.78856,0.54554,1.09856,0.0011684,0.0011684,0.0011684
23,142.265,0.76062,0.67612,1.18139,0.97662,0.95327,0.97434,0.77904,0.74858,0.55973,1.06919,0.0011288,0.0011288,0.0011288
24,147.88,0.77767,0.67391,1.21694,1,0.92319,0.96316,0.76777,0.69495,0.56263,1.0021,0.0010892,0.0010892,0.0010892
25,152.361,0.77553,0.66718,1.18508,0.94925,0.90654,0.94585,0.74988,0.75134,0.66521,1.04973,0.0010496,0.0010496,0.0010496
26,156.844,0.74439,0.64975,1.18283,0.98207,0.91589,0.96686,0.7955,0.67363,0.56169,0.95199,0.00101,0.00101,0.00101
27,162.291,0.74483,0.62377,1.17858,0.9833,0.94393,0.97688,0.74186,0.70427,0.5045,0.98794,0.0009704,0.0009704,0.0009704
28,166.724,0.73039,0.60627,1.16474,0.9872,0.94393,0.97324,0.75245,0.64382,0.48924,0.95272,0.0009308,0.0009308,0.0009308
29,171.458,0.72131,0.5797,1.16493,0.99026,0.9501,0.97411,0.76657,0.6707,0.47297,0.95153,0.0008912,0.0008912,0.0008912
30,176.387,0.70318,0.56332,1.15873,0.97165,0.96079,0.97491,0.78906,0.64432,0.4651,0.92538,0.0008516,0.0008516,0.0008516
31,180.781,0.69797,0.58514,1.14099,0.98952,0.96262,0.98088,0.81184,0.59656,0.43603,0.90745,0.000812,0.000812,0.000812
32,186.468,0.7116,0.6009,1.16281,0.99038,0.96204,0.98187,0.80879,0.64717,0.44462,0.95499,0.0007724,0.0007724,0.0007724
33,191.018,0.763,0.62415,1.19537,0.97047,0.92136,0.97731,0.8,0.62083,0.49498,0.89136,0.0007328,0.0007328,0.0007328
34,195.528,0.69363,0.56698,1.15109,0.96134,0.96262,0.97909,0.79517,0.60267,0.48018,0.88593,0.0006932,0.0006932,0.0006932
35,201.044,0.69159,0.53839,1.16209,0.97904,0.97196,0.99191,0.80964,0.60587,0.45483,0.89181,0.0006536,0.0006536,0.0006536
36,205.678,0.65533,0.55846,1.13561,0.98086,0.95786,0.97745,0.80991,0.58665,0.42176,0.88478,0.000614,0.000614,0.000614
37,211.158,0.66095,0.51732,1.12539,0.99939,0.97196,0.98893,0.82427,0.5596,0.41093,0.83749,0.0005744,0.0005744,0.0005744
38,215.612,0.62545,0.5247,1.12201,1,0.97148,0.99066,0.82627,0.56113,0.41591,0.85526,0.0005348,0.0005348,0.0005348
39,220.067,0.70055,0.55044,1.14943,0.99921,0.96262,0.98886,0.82119,0.60752,0.40936,0.89569,0.0004952,0.0004952,0.0004952
