               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.024225,            0.014626,                   0,              0.8919,             0.89802,             0.95051,             0.66086,            0.025784,           0.0063444,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.022756,            0.013051,                   0,             0.90315,              0.8881,             0.95314,             0.69141,            0.024291,           0.0063148,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.024055,             0.01411,                   0,             0.91641,               0.895,             0.95492,             0.67829,            0.023803,           0.0064185,                   0,            0.002278,            0.002278,            0.002278
                  41,             0.02335,            0.013986,                   0,             0.90149,             0.89116,             0.95106,             0.67333,            0.025389,           0.0064619,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.022786,             0.01462,                   0,             0.88757,             0.91296,             0.95489,             0.68831,            0.024386,           0.0062463,                   0,            0.001882,            0.001882,            0.001882
                  43,             0.02264,            0.013398,                   0,             0.87723,             0.92517,             0.95089,             0.68333,             0.02353,             0.00633,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.022801,            0.013423,                   0,             0.88091,             0.90578,             0.95388,             0.67599,            0.023069,           0.0065223,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.023771,            0.013595,                   0,             0.89859,             0.90418,             0.95441,             0.69438,            0.022851,           0.0063169,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.021994,            0.013267,                   0,             0.89226,             0.90141,             0.95172,             0.69733,            0.023775,           0.0062954,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.021113,            0.013587,                   0,             0.91137,             0.89796,             0.95437,              0.6924,            0.024046,           0.0062646,                   0,            0.000892,            0.000892,            0.000892
                  48,             0.02275,            0.014442,                   0,             0.90485,             0.90476,             0.95198,             0.69159,            0.024057,            0.006283,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.020902,            0.013047,                   0,             0.93343,             0.87755,             0.94962,             0.68878,            0.023871,           0.0063323,                   0,            0.000496,            0.000496,            0.000496
